Timestamp,Have you used Bkash?,"Considering customer service, security, availability, and service charge what is your opinion on Bkash as a mobile financial service (MFS) provider in Bangladesh?",Have you used Rocket?,"Considering customer service, security, availability, and service charge what is your opinion on Rocket as a mobile financial service (MFS) provider in Bangladesh?",Have you used SureCash? ,"Considering customer service, security, availability, and service charge what is your opinion on SureCash as a mobile financial service (MFS) provider in Bangladesh?",Have you used Nagad?,"Considering customer service, security, availability, and service charge what is your opinion on Nagad as a mobile financial service (MFS) provider in Bangladesh?"
6/15/2020 16:49,No,They provide a good service. I am happy with there service,No,They provide a good service. I am happy with there service,No,I am concern with there safety,No,Not Famous that much. Not available shop is for money exchange
6/18/2020 17:08,No,Test Bikash Data,No,test Rocket ,No,test SureCash,No,test Nagad
6/18/2020 17:08,No,t,No,t,No,t,No,t
6/19/2020 15:06,No,Yes,No,Yes,No,No,No,Yes
6/19/2020 15:12,No,I really happy with there service. They provide a great security service and nice looking app. Easy to use and shop is available every where.,No,I really happy with there service. They provide a great security service and nice looking app. Easy to use and shop is available every where.,No,They are becoming popular but the problem is shop is not available everywhere . I am  also concern with security. ,No,They are becoming popular but the problem is shop is not available everywhere . I am  also concern with security. 
6/19/2020 15:14,No,"Yes, Bkash sequrity is very high and their service is so comfortable.I used Bkash for about three month.",No,"Yes, Like as Bkash,Rocket sequrity is also very high and their service is so comfortable.I used Bkash for about three month.",No,"Actually, i don,t use sure cash before. No Idea",No, No Idea
6/19/2020 15:26,No,Its doing good ,No,They are also good but need more update like bkash ,No,Sorry i don't use surecash yet,No,"Sorry, i dont use nagad yet "
6/19/2020 15:26,No,"service,security& availability is good. I think if the service charge is lees then it can be more helpful.",No,i haven't use it yet. so i don't know about it .,No,i haven't use it yet. so i don't know about it .,No,i haven't use it yet. so i don't know about it .
6/19/2020 16:12,No,Customers service is good but cash out charge little be high.,No,Rocket customers service is good also security is high more then bkash.But not available in rural area as like bkash,No,As l not use this so l don't know about this.,No,I am not user nagod.I don’t know about nagod.
6/19/2020 18:39,No,its really helpful for human life,No,its really helpful for human life,No,i don't use this service,No,i don't use this service
6/19/2020 21:46,No,Helpful,No,I don't use.,No,I don't use.,No,I don't use.
6/19/2020 21:53,No,it's good but in this bad moment they are taking service fee for personal money share that is very bad thing they are doing.,No,no idea ,No,no idea,No,no idea
6/19/2020 21:53,No,Good,No,Nothing,No,Nothing,No,Nothing
6/19/2020 21:54,No,"Customers service is not good, security averag,  availability is good, service charge is high not good for all.         ",No,No idea about it. ,No,No idea.,No,No idea.
6/19/2020 21:56,No,not good,No,no idea.,No,no idea.,No,no idea
6/19/2020 21:58,No,Good,No,Good,No,No idea,No,No idea
6/19/2020 21:58,No,It is easy to use but service charge little bit high.     ,No,I did not use it.  ,No,I did not use it.    ,No,It is easy to use. 
6/19/2020 21:58,Yes,Changes are extremely high than standard.  3rd grade level security. ,No,Changes are extremely high than standard.  3rd+ grade level security. ,No,Don't know anything about it. ,No,Don't know anything about it. 
6/19/2020 21:59,Yes,Its not good,No,Did not use ,No,Did  not   use,No,Did n't use
6/19/2020 22:01,Yes,its good. ,No,Don't know ,No,Do not  know ,No,Its really good 
6/19/2020 22:01,Yes,Its good,No,nothing,No,nothing ,No,nothing 
6/19/2020 22:02,Yes,Good,No,Good,No,Dont know,No,Dont know
6/19/2020 22:02,Yes,It is good.,No,I don't know  ,No,I don't know  ,No,I don’t know 
6/19/2020 22:04,Yes,Charge little bit high but other service is good.  ,No,Not available agent as like bKash.... Thats is proble.  ,No,No need ,No,Use But not like
6/19/2020 22:07,Yes,Nothing ,No,Nothing,No,Nothing,No,Nothing
6/19/2020 22:07,Yes,It's quite good.,No,I haven't used it.,No,Haven't used it.,No,Haven't used it.
6/19/2020 22:09,Yes,It'sgreat  ,No,Not alwaysavailable  ,No,Maybe they haven’t more  outlate,No,I have no idea
6/19/2020 22:10,Yes,Bkash security aren't that much secure.& the charge cost are quit increasing when a persontry to send a lot of money then they need to pay quite much amount of service charge.    ,No,I did not  even used  it yet..so cannot say anything about it   ,No,I do not even used  it yet..so cannot say anything about it,No,I did not even used  it yet..so cannot say anything about it
6/19/2020 22:11,Yes,Good,No,Good,No,Don't know,No,Don't know
6/19/2020 22:16,Yes,"Good system it but service charge is not gd,1000 tk they cute there service charge 18 tk.when it service charge 10/12 tk this is good for customers ",No,"No, idea",No,"No,idea",No,"No,idea"
6/19/2020 22:17,Yes,Excess service charge ,No,Excess customers service ,No,Excess customers service ,No,Excess customers service 
6/19/2020 22:20,Yes,Its every service system is good .,No,Its every service system is good .,No,Its every service system is good .,No,I don't know about it.
6/19/2020 22:25,Yes,It's service charge is more than other mobile financial service provider in Bangladesh. If it is less then it will be better for customer.,No,I didn't using this. so I don't have any opinion about this.,No,I didn't using this. so I don't have any opinion about this.,No,I didn't using this. so I don't have any opinion about this.
6/19/2020 22:29,Yes,High Costing in service charge,No,Security,No,Availability,No,Availability and security
6/19/2020 22:30,Yes,Bkash is reliable ,No,Easy to use in ATM Booth,No,I did not use,No,I did not use
6/19/2020 22:30,Yes,It is very secure. Bkash app is very friendly for user. Some features of Bkash is very helpful such as money transfer from card to bkash. It needs some improvement also. ,No,I did not use Rocket very much but as much as I used it is very user friendly. For paying job application fee it is very helpful. ,No,I did not use it at all.,No,I did not use it at all.
6/19/2020 22:38,Yes,Good,No,Good,No,I have no idea about SureCash.,No,No idea.
6/19/2020 22:40,Yes,i have no bkash,No,it's a helpul customer service..,No,i don't have,No,"i don't have
"
6/19/2020 22:40,Yes,it is not good because service charge is high,No,good,No,good,No,good
6/19/2020 22:41,Yes,"Customer service,  security,  availability  both are fine. But service charge is expensive. ",No,"Customer service,  security,  availability  both are fine. But service charge is little bit 
 expensive. ",No,"I do not have account, so I can't give any kind of feedback about surecash. ",No,All service are ok. I am happy for using nagad.
6/19/2020 22:43,Yes,Service charge is too  much,No,Don't know,No,Don't know,No,Don't know
6/19/2020 22:49,Yes,Convenient & Helpful,No,N/A,No,N/A,No,N/A
6/19/2020 22:53,Yes,No,No,No,No,No,No,No
6/19/2020 22:54,Yes,Very good service but I think cashout charge should be less.,No,"Rocket is very good in terms of security,service charge but availability should be increase.",No,Don't know.,No,Don't know
6/19/2020 22:55,Yes,Not so good but works .,No,No idea.,No,No idea.,No,No idea.
6/19/2020 22:56,Yes,No idea,No,No idea,No,No idea,No,No idea
6/19/2020 22:58,Yes,Its really fantastic ,No,Its good,No,No idea,No,No idea
6/19/2020 22:58,Yes,Its really fantastic. ,No,Good,No,No idea,No,No idea
