test,sentiment,company
They provide a good service. I am happy with there service,,b
Test Bikash Data,,b
Very Good Service,,b
"service is good, security is good, availability is good .Very Good service",,b
I really happy with there service. They provide a great security service and nice looking app. Easy to use and shop is available every where.,,b
"Yes, Bkash sequrity is very high and their service is so comfortable.I used Bkash for about three month.",,b
Its doing good ,,b
"service,security& availability is good. I think if the service charge is lees then it can be more helpful.",,b
Customers service is good but cash out charge little be high.,,b
its really helpful for human life,,b
Helpful,,b
it's good but in this bad moment they are taking service fee for personal money share that is very bad thing they are doing.,,b
Good,,b
"Customers service is not good, security averag,  availability is good, service charge is high not good for all.         ",,b
not good,,b
Good,,b
"Considering customer service, security, availability, and service charge what is your opinion on Bkash as a mobile financial service (MFS) provider in Bangladesh?",,b
"Considering customer service, security, availability, and service charge what is your opinion on Rocket as a mobile financial service (MFS) provider in Bangladesh?",,b
They provide a good service. I am happy with there service,,b
They provide a good service. I am happy with there service ,,b
"Rocket is very good in terms of security,service charge but availability should be increase.",,b
"Rocket is very good in terms of security,service charge but availability should be increase.",,b
I really happy with there service. They provide a great security service and nice looking app. Easy to use and shop is available every where.,,b
"Yes, Like as Bkash,Rocket sequrity is also very high and their service is so comfortable.I used Bkash for about three month.",,b
They are also good but need more update like bkash ,,b
i haven't use it yet. so i don't know about it .,,b
Rocket customers service is good also security is high more then bkash.But not available in rural area as like bkash,,b
its really helpful for human life,,b
Changes are extremely high than standard.  3rd+ grade level security. ,,b
"Rocket is very good in terms of security,service charge but availability should be increase.",,b
"Changes are extremely high than standard.  3rd+ grade level security. Rocket is very good in terms of security,service charge but availability should be increase.",,b
No idea about it. ,,b
"Rocket is very good in terms of security,service charge but availability should be increase.",,b
Good,,b
I did not use it.  ,,b
Changes are extremely high than standard.  3rd+ grade level security. ,,b
Did not use ,,b
Don't know ,,b
nothing,,b
Good,,b
I don't know  ,,b
Not available agent as like bKash.... Thats is proble.  ,,b
Nothing,,b
I haven't used it.,,b
Not alwaysavailable  ,,b
I did not  even used  it yet..so cannot say anything about it   ,,b
"Rocket is very good in terms of security,service charge but availability should be increase.",,b
"Rocket is very good in terms of security,service charge but availability should be increase.",,b
Excess customers service ,,b
Its every service system is good .,,b
I didn't using this. so I don't have any opinion about this.,,b
Security.Availability should be increased ,,b
Easy to use in ATM Booth,,b
I did not use Rocket very much but as much as I used it is very user friendly. For paying job application fee it is very helpful. ,,b
"GoodRocket is very good in terms of security,service charge but availability should be increase.",,b
it's a helpul customer service..,,b
